Season,Age,Squad,Country,Competition,MinutesDividedBy90,PassCompleted,PassAttempted,PassCompletionPercentage,TotalDistanceTraveledByPasses,TotalProgressiveDistanceTraveledByPasses,ShortPassCompleted,ShortPassAttempted,ShortPassCompletedPercentage,MediumPassCompleted,MediumPassAttempted,MediumPassCompletedPercentage,LongPassCompleted,LongPassAttempted,LongPassCompletedPercentage,Assists,ExpectedAssists,DifferenceBetweenExpectedAndRealAssists,AssistedShot,CompletedPassReallyCloseToGoal,CompletedPassWithin18Yard,CompletedCrossWithin18Yard,CompletedProgressivePass
2004-2005,16,Lyon,fr FRA,1. Ligue 1,1.2,,,,,,,,,,,,,,,0,,,,,,,
2005-2006,17,Lyon,,1. Champions Lg,1.0,,,,,,,,,,,,,,,0,,,,,,,
2005-2006,17,Lyon,fr FRA,1. Ligue 1,5.8,,,,,,,,,,,,,,,2,,,,,,,
2006-2007,18,Lyon,,1. Champions Lg,1.1,,,,,,,,,,,,,,,0,,,,,,,
2006-2007,18,Lyon,fr FRA,1. Ligue 1,12.8,,,,,,,,,,,,,,,2,,,,,,,
2007-2008,19,Lyon,,1. Champions Lg,6.6,,,,,,,,,,,,,,,0,,,,,,,
2007-2008,19,Lyon,fr FRA,1. Ligue 1,28.5,,,,,,,,,,,,,,,7,,,,,,,
2008-2009,20,Lyon,,1. Champions Lg,7.8,,,,,,,,,,,,,,,2,,,,,,,
2008-2009,20,Lyon,fr FRA,1. Ligue 1,30.6,,,,,,,,,,,,,,,2,,,,,,,
2009-2010,21,Real Madrid,,1. Champions Lg,3.5,,,,,,,,,,,,,,,1,,,,,,,
2009-2010,21,Real Madrid,es ESP,1. La Liga,14.6,,,,,,,,,,,,,,,3,,,,,,,
2010-2011,22,Real Madrid,,1. Champions Lg,4.1,,,,,,,,,,,,,,,1,,,,,,,
2010-2011,22,Real Madrid,es ESP,1. La Liga,21.1,,,,,,,,,,,,,,,4,,,,,,,
2011-2012,23,Real Madrid,,1. Champions Lg,8.4,,,,,,,,,,,,,,,5,,,,,,,
2011-2012,23,Real Madrid,es ESP,1. La Liga,24.9,,,,,,,,,,,,,,,8,,,,,,,
2012-2013,24,Real Madrid,,1. Champions Lg,5.9,,,,,,,,,,,,,,,4,,,,,,,
2012-2013,24,Real Madrid,es ESP,1. La Liga,19.7,,,,,,,,,,,,,,,12,,,,,,,
2013-2014,25,Real Madrid,,1. Champions Lg,10.1,,,,,,,,,,,,,,,5,,,,,,,
2013-2014,25,Real Madrid,es ESP,1. La Liga,30.4,,,,,,,,,,,,,,,8,,,,,,,
2014-2015,26,Real Madrid,,1. Champions Lg,7.4,,,,,,,,,,,,,,,2,,,,,,,
2014-2015,26,Real Madrid,es ESP,Copa del Rey,2.7,,,,,,,,,,,,,,,0,,,,,,,
2014-2015,26,Real Madrid,es ESP,1. La Liga,25.3,,,,,,,,,,,,,,,11,,,,,,,
2014-2015,26,Real Madrid,,Super Cup,1.0,,,,,,,,,,,,,,,1,,,,,,,
2015-2016,27,Real Madrid,,1. Champions Lg,6.7,,,,,,,,,,,,,,,0,,,,,,,
2015-2016,27,Real Madrid,es ESP,1. La Liga,21.9,,,,,,,,,,,,,,,7,,,,,,,
2016-2017,28,Real Madrid,,1. Champions Lg,10.6,,,,,,,,,,,,,,,2,,,,,,,
2016-2017,28,Real Madrid,es ESP,Copa del Rey,1.3,,,,,,,,,,,,,,,1,,,,,,,
2016-2017,28,Real Madrid,es ESP,1. La Liga,21.1,,,,,,,,,,,,,,,5,,,,,,,
2016-2017,28,Real Madrid,,Super Cup,0.7,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,29,Real Madrid,,1. Champions Lg,6.7,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,29,Real Madrid,es ESP,Copa del Rey,1.0,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,29,Real Madrid,es ESP,1. La Liga,23.9,713,868,82.1,10666,2162,431,508,84.8,215,260,82.7,52,61,85.2,9,5.7,+3.3,45,42,38,2,77
2017-2018,29,Real Madrid,,Super Cup,0.9,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,29,Real Madrid,es ESP,Supercopa de España,1.6,,,,,,,,,,,,,,,,,,,,,,
2018-2019,30,Real Madrid,,1. Champions Lg,6.5,220,264,83.3,3334,469,129,149,86.6,69,82,84.1,16,17,94.1,2,1.2,+0.8,8,13,11,1,20
2018-2019,30,Real Madrid,es ESP,Copa del Rey,5.0,,,,,,,,,,,,,,,1,,,,,,,
2018-2019,30,Real Madrid,es ESP,1. La Liga,32.8,1011,1212,83.4,15068,2804,619,704,87.9,278,324,85.8,79,108,73.1,6,5.6,+0.4,48,82,58,5,97
2018-2019,30,Real Madrid,,Super Cup,1.3,,,,,,,,,,,,,,,0,,,,,,,
2019-2020,31,Real Madrid,,1. Champions Lg,7.2,249,289,86.2,3678,758,154,172,89.5,69,79,87.3,16,20,80.0,2,3.1,-1.1,18,12,16,0,28
2019-2020,31,Real Madrid,es ESP,Copa del Rey,2.0,,,,,,,,,,,,,,,1,,,,,,,
2019-2020,31,Real Madrid,es ESP,1. La Liga,34.9,1119,1329,84.2,16894,3021,673,757,88.9,303,360,84.2,96,119,80.7,8,8.4,-0.4,61,71,58,1,110
2020-2021,32,Real Madrid,,1. Champions Lg,9.3,311,358,86.9,4806,834,177,203,87.2,97,104,93.3,25,29,86.2,0,1.8,-1.8,19,20,15,1,22
2020-2021,32,Real Madrid,es ESP,Copa del Rey,0.6,,,,,,,,,,,,,,,0,,,,,,,
2020-2021,32,Real Madrid,es ESP,1. La Liga,32.2,1043,1248,83.6,15229,2695,638,717,89.0,297,349,85.1,72,101,71.3,9,6.3,+2.7,37,56,37,1,82
2020-2021,32,Real Madrid,es ESP,Supercopa de España,1.0,,,,,,,,,,,,,,,0,,,,,,,
