Season,Age,Squad,Country,Competition,MatchPlayed,GamesStarted,MinutesPlayed,MinutesDividedBy90,Goals,Assists,NonPenalityGoals,PenalityKicksScored,PenalityKicksAttempted,YellowCards,RedCards,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAndAssistsPer90Minutes,NonPenalityGoalsPer90Minutes,NonPenalityGoalsAndAssistsPer90Minutes,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedAssists,ExpectedNonPenalityGoalsAndAssists,ExpectedGoalsPer90Minutes,ExpectedAssistsPer90Minutes,ExpectedGoalsAndAssistsPer90Minutes,ExpectedNonPenalityGoalsPer90Minutes,ExpectedNonPenalityGoalsAndAssistsPer90Minutes
2004-2005,16,Lyon,fr FRA,1. Ligue 1,6,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2005-2006,17,Lyon,,1. Champions Lg,1,1,89,1.0,1,0,1,0,0,0,0,1.01,0.00,1.01,1.01,1.01,,,,,,,,,
2005-2006,17,Lyon,fr FRA,1. Ligue 1,13,4,520,5.8,1,2,1,0,0,1,0,0.17,0.35,0.52,0.17,0.52,,,,,,,,,
2006-2007,18,Lyon,,1. Champions Lg,3,1,101,1.1,2,0,2,0,0,0,0,1.78,0.00,1.78,1.78,1.78,,,,,,,,,
2006-2007,18,Lyon,fr FRA,1. Ligue 1,21,13,1156,12.8,5,2,4,1,1,0,0,0.39,0.16,0.54,0.31,0.47,,,,,,,,,
2007-2008,19,Lyon,,1. Champions Lg,7,7,592,6.6,4,0,4,0,0,0,0,0.61,0.00,0.61,0.61,0.61,,,,,,,,,
2007-2008,19,Lyon,fr FRA,1. Ligue 1,36,32,2565,28.5,20,7,20,0,0,1,0,0.70,0.25,0.95,0.70,0.95,,,,,,,,,
2008-2009,20,Lyon,,1. Champions Lg,8,8,702,7.8,5,2,5,0,0,1,0,0.64,0.26,0.90,0.64,0.90,,,,,,,,,
2008-2009,20,Lyon,fr FRA,1. Ligue 1,36,31,2758,30.6,17,2,15,2,4,1,0,0.55,0.07,0.62,0.49,0.55,,,,,,,,,
2009-2010,21,Real Madrid,,1. Champions Lg,5,3,315,3.5,1,1,1,0,0,0,0,0.29,0.29,0.57,0.29,0.57,,,,,,,,,
2009-2010,21,Real Madrid,es ESP,1. La Liga,27,14,1312,14.6,8,3,8,0,0,0,0,0.55,0.21,0.75,0.55,0.75,,,,,,,,,
2010-2011,22,Real Madrid,,1. Champions Lg,8,4,371,4.1,6,1,6,0,0,0,0,1.46,0.24,1.70,1.46,1.70,,,,,,,,,
2010-2011,22,Real Madrid,es ESP,1. La Liga,33,20,1898,21.1,15,4,15,0,0,1,0,0.71,0.19,0.90,0.71,0.90,,,,,,,,,
2011-2012,23,Real Madrid,,1. Champions Lg,11,10,760,8.4,7,5,7,0,0,0,0,0.83,0.59,1.42,0.83,1.42,,,,,,,,,
2011-2012,23,Real Madrid,es ESP,1. La Liga,34,26,2242,24.9,21,8,21,0,0,0,0,0.84,0.32,1.16,0.84,1.16,,,,,,,,,
2012-2013,24,Real Madrid,,1. Champions Lg,10,6,532,5.9,5,4,5,0,0,0,0,0.85,0.68,1.52,0.85,1.52,,,,,,,,,
2012-2013,24,Real Madrid,es ESP,1. La Liga,30,19,1770,19.7,11,12,11,0,0,0,0,0.56,0.61,1.17,0.56,1.17,,,,,,,,,
2013-2014,25,Real Madrid,,1. Champions Lg,11,11,912,10.1,5,5,5,0,0,1,0,0.49,0.49,0.99,0.49,0.99,,,,,,,,,
2013-2014,25,Real Madrid,es ESP,1. La Liga,35,34,2733,30.4,17,8,17,0,0,2,0,0.56,0.26,0.82,0.56,0.82,,,,,,,,,
2014-2015,26,Real Madrid,,1. Champions Lg,9,8,664,7.4,6,2,6,0,0,0,0,0.81,0.27,1.08,0.81,1.08,,,,,,,,,
2014-2015,26,Real Madrid,es ESP,Copa del Rey,3,3,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2014-2015,26,Real Madrid,es ESP,1. La Liga,29,29,2278,25.3,15,11,15,0,0,1,0,0.59,0.43,1.03,0.59,1.03,,,,,,,,,
2014-2015,26,Real Madrid,,Super Cup,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,,,,,,,,,
2015-2016,27,Real Madrid,,1. Champions Lg,9,8,604,6.7,4,0,4,0,0,0,0,0.60,0.00,0.60,0.60,0.60,,,,,,,,,
2015-2016,27,Real Madrid,es ESP,1. La Liga,27,26,1970,21.9,24,7,24,0,0,1,0,1.10,0.32,1.42,1.10,1.42,,,,,,,,,
2016-2017,28,Real Madrid,,1. Champions Lg,13,12,954,10.6,5,2,5,0,0,0,0,0.47,0.19,0.66,0.47,0.66,,,,,,,,,
2016-2017,28,Real Madrid,es ESP,Copa del Rey,3,1,115,1.3,1,1,1,0,0,0,0,0.78,0.78,1.57,0.78,1.57,,,,,,,,,
2016-2017,28,Real Madrid,es ESP,1. La Liga,29,23,1898,21.1,11,5,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76,,,,,,,,,
2016-2017,28,Real Madrid,,Super Cup,1,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2017-2018,29,Real Madrid,,1. Champions Lg,9,8,600,6.7,5,0,5,0,0,0,0,0.75,0.00,0.75,0.75,0.75,,,,,,,,,
2017-2018,29,Real Madrid,es ESP,Copa del Rey,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,,,,,,,,,
2017-2018,29,Real Madrid,es ESP,1. La Liga,32,25,2149,23.9,5,9,3,2,2,0,0,0.21,0.38,0.59,0.13,0.50,10.5,9.0,5.7,14.7,0.44,0.24,0.68,0.38,0.61
2017-2018,29,Real Madrid,,Super Cup,1,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2017-2018,29,Real Madrid,es ESP,Supercopa de España,2,2,147,1.6,1,,1,0,0,0,0,0.61,,,0.61,,,,,,,,,,
2018-2019,30,Real Madrid,,1. Champions Lg,8,8,582,6.5,4,2,4,0,0,0,0,0.62,0.31,0.93,0.62,0.93,2.0,2.0,1.2,3.2,0.31,0.18,0.49,0.31,0.49
2018-2019,30,Real Madrid,es ESP,Copa del Rey,6,6,454,5.0,4,1,4,0,0,0,0,0.79,0.20,0.99,0.79,0.99,,,,,,,,,
2018-2019,30,Real Madrid,es ESP,1. La Liga,36,35,2953,32.8,21,6,18,3,3,1,0,0.64,0.18,0.82,0.55,0.73,15.7,13.5,5.6,19.1,0.48,0.17,0.65,0.41,0.58
2018-2019,30,Real Madrid,,Super Cup,1,1,120,1.3,1,0,1,0,0,0,0,0.75,0.00,0.75,0.75,0.75,,,,,,,,,
2019-2020,31,Real Madrid,,1. Champions Lg,8,7,644,7.2,5,2,5,0,0,0,0,0.70,0.28,0.98,0.70,0.98,5.5,5.5,3.1,8.6,0.77,0.43,1.20,0.77,1.20
2019-2020,31,Real Madrid,es ESP,Copa del Rey,3,2,182,2.0,1,1,1,0,0,0,0,0.49,0.49,0.99,0.49,0.99,,,,,,,,,
2019-2020,31,Real Madrid,es ESP,1. La Liga,37,36,3141,34.9,21,8,16,5,5,0,0,0.60,0.23,0.83,0.46,0.69,17.4,13.6,8.4,22.0,0.50,0.24,0.74,0.39,0.63
2020-2021,32,Real Madrid,,1. Champions Lg,10,9,840,9.3,6,0,6,0,0,0,0,0.64,0.00,0.64,0.64,0.64,5.0,5.0,1.8,6.8,0.54,0.20,0.73,0.54,0.73
2020-2021,32,Real Madrid,es ESP,Copa del Rey,1,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2020-2021,32,Real Madrid,es ESP,1. La Liga,34,33,2894,32.2,23,9,22,1,1,2,0,0.72,0.28,1.00,0.68,0.96,17.8,17.0,6.3,23.3,0.55,0.20,0.75,0.53,0.72
2020-2021,32,Real Madrid,es ESP,Supercopa de España,1,1,87,1.0,1,0,1,0,0,0,0,1.03,0.00,1.03,1.03,1.03,,,,,,,,,
