Season,Age,Squad,Country,Competition,MinutesDividedBy90,Goals,Shots,ShotsOnTarget,ShotsOnTargetPercentage,ShotsPer90Minutes,ShotsOnTargetPer90Minutes,GoalsPerShot,GoalsPerShotOnTarget,AverageDistanceFromGoalOnShot,FreeKicks,PenalityKicks,PenalityKicksAttempted,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedGoalsPerShot,DifferenceBetweenExpectedAndRealGoals,NonPenalityGoalsMinusExpectedNonPenalityGoals
2009-2010,22,Tours,fr FRA,2. Ligue 2,36.9,21,,58,,,1.57,,0.33,,,2,
2010-2011,23,Montpellier,fr FRA,1. Ligue 1,32.3,12,,36,,,1.11,,0.25,,,3,3,,,,,
2011-2012,24,Montpellier,fr FRA,1. Ligue 1,35.5,21,,78,,,2.20,,0.24,,,2,4,,,,,
2012-2013,25,Arsenal,,1. Champions Lg,4.3,2,,10,,,2.34,,0.20,,,0,0,,,,,
2012-2013,25,Arsenal,eng ENG,1. Premier League,25.9,11,,44,,,1.70,,0.25,,,0,0,,,,,
2013-2014,26,Arsenal,,1. Champions Lg,7.0,2,,8,,,1.14,,0.25,,,0,0,,,,,
2013-2014,26,Arsenal,eng ENG,1. Premier League,34.1,16,,52,,,1.53,,0.29,,,1,1,,,,,
2014-2015,27,Arsenal,,1. Champions Lg,1.7,1,,3,,,1.80,,0.33,,,0,0,,,,,
2014-2015,27,Arsenal,eng ENG,FA Cup,2.6,3,,,,,,,,,,0,0,,,,,
2014-2015,27,Arsenal,eng ENG,1. Premier League,20.7,14,,29,,,1.40,,0.48,,,0,0,,,,,
2015-2016,28,Arsenal,,1. Champions Lg,4.3,5,,12,,,2.81,,0.33,,,1,1,,,,,
2015-2016,28,Arsenal,eng ENG,Community Shield,0.3,0,,,,,,,,,,0,0,,,,,
2015-2016,28,Arsenal,eng ENG,FA Cup,4.0,3,,,,,,,,,,0,0,,,,,
2015-2016,28,Arsenal,eng ENG,League Cup,2.0,0,,,,,,,,,,0,0,,,,,
2015-2016,28,Arsenal,eng ENG,1. Premier League,27.0,16,,43,,,1.59,,0.35,,,1,1,,,,,
2016-2017,29,Arsenal,,1. Champions Lg,3.5,2,9,2,22.2,2.60,0.58,0.11,0.50,,,1,1,,,,,
2016-2017,29,Arsenal,eng ENG,EFL Cup,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,,,0,0,,,,,
2016-2017,29,Arsenal,eng ENG,FA Cup,2.8,2,,,,,,,,,,0,0,,,,,
2016-2017,29,Arsenal,eng ENG,1. Premier League,13.4,12,40,20,50.0,2.99,1.49,0.30,0.60,,,0,0,,,,,
2017-2018,30,Arsenal,eng ENG,Community Shield,0.6,0,0,0,,0.00,0.00,,,,,0,0,,,,,
2017-2018,30,Arsenal,eng ENG,EFL Cup,3.2,0,11,1,9.1,3.45,0.31,0.00,0.00,,,0,0,,,,,
2017-2018,30,Arsenal,,2. Europa Lg,6.0,3,25,9,36.0,4.17,1.50,0.04,0.11,,,2,2,,,,,
2017-2018,30,Arsenal,eng ENG,1. Premier League,4.3,4,19,6,31.6,4.41,1.39,0.21,0.67,10.4,0,0,0,3.0,3.0,0.16,+1.0,+1.0
2017-2018,30,Chelsea,,1. Champions Lg,0.7,0,1,0,0.0,1.34,0.00,0.00,,,,0,0,,,,,
2017-2018,30,Chelsea,eng ENG,FA Cup,2.8,2,6,2,33.3,2.14,0.71,0.33,1.00,,,0,0,,,,,
2017-2018,30,Chelsea,eng ENG,1. Premier League,6.8,3,29,10,34.5,4.26,1.47,0.10,0.30,10.8,0,0,0,3.9,3.9,0.13,-0.9,-0.9
2018-2019,31,Chelsea,eng ENG,EFL Cup,2.5,0,9,4,44.4,3.65,1.62,0.00,0.00,,,0,0,,,,,
2018-2019,31,Chelsea,,2. Europa Lg,12.5,11,48,21,43.8,3.84,1.68,0.23,0.52,10.7,2,0,0,7.8,7.8,0.16,+3.2,+3.2
2018-2019,31,Chelsea,eng ENG,FA Cup,0.1,0,1,0,0.0,10.00,0.00,0.00,,,,0,0,,,,,
2018-2019,31,Chelsea,eng ENG,1. Premier League,9.4,2,31,10,32.3,3.29,1.06,0.06,0.20,10.1,0,0,0,3.7,3.7,0.12,-1.7,-1.7
2019-2020,32,Chelsea,,1. Champions Lg,1.0,0,3,2,66.7,3.07,2.05,0.00,0.00,14.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2019-2020,32,Chelsea,eng ENG,FA Cup,2.7,1,6,3,50.0,2.20,1.10,0.17,0.33,,,0,0,,,,,
2019-2020,32,Chelsea,eng ENG,1. Premier League,11.0,8,39,19,48.7,3.53,1.72,0.21,0.42,10.9,1,0,0,6.7,6.7,0.17,+1.3,+1.3
2019-2020,32,Chelsea,,Super Cup,0.8,1,4,2,50.0,4.93,2.47,0.25,0.50,,,0,0,,,,,
2020-2021,33,Chelsea,,1. Champions Lg,2.9,6,9,6,66.7,3.13,2.08,0.56,0.83,10.7,0,1,1,2.1,1.3,0.15,+3.9,+3.7
2020-2021,33,Chelsea,eng ENG,EFL Cup,1.0,1,1,1,100.0,0.96,0.96,1.00,1.00,,,0,0,,,,,
2020-2021,33,Chelsea,eng ENG,FA Cup,1.2,0,5,2,40.0,4.17,1.67,0.00,0.00,,,0,0,,,,,
2020-2021,33,Chelsea,eng ENG,1. Premier League,8.3,4,29,10,34.5,3.49,1.20,0.14,0.40,10.8,0,0,0,4.8,4.8,0.17,-0.8,-0.8
