Season,Age,Squad,Country,Competition,MatchPlayed,GamesStarted,MinutesPlayed,MinutesDividedBy90,Goals,Assists,NonPenalityGoals,PenalityKicksScored,PenalityKicksAttempted,YellowCards,RedCards,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAndAssistsPer90Minutes,NonPenalityGoalsPer90Minutes,NonPenalityGoalsAndAssistsPer90Minutes,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedAssists,ExpectedNonPenalityGoalsAndAssists,ExpectedGoalsPer90Minutes,ExpectedAssistsPer90Minutes,ExpectedGoalsAndAssistsPer90Minutes,ExpectedNonPenalityGoalsPer90Minutes,ExpectedNonPenalityGoalsAndAssistsPer90Minutes
2009-2010,22,Tours,fr FRA,2. Ligue 2,38,37,3319,36.9,21,6,19,2,4,6,0,0.57,0.16,0.73,0.52,0.6
2010-2011,23,Montpellier,fr FRA,1. Ligue 1,37,33,2909,32.3,12,3,9,3,3,4,0,0.37,0.09,0.46,0.28,0.37,,,,,,,,,
2011-2012,24,Montpellier,fr FRA,1. Ligue 1,36,36,3196,35.5,21,9,19,2,4,6,0,0.59,0.25,0.84,0.54,0.79,,,,,,,,,
2012-2013,25,Arsenal,,1. Champions Lg,7,4,384,4.3,2,4,2,0,0,2,0,0.47,0.94,1.41,0.47,1.41,,,,,,,,,
2012-2013,25,Arsenal,eng ENG,1. Premier League,34,24,2333,25.9,11,3,11,0,0,3,1,0.42,0.12,0.54,0.42,0.54,,,,,,,,,
2013-2014,26,Arsenal,,1. Champions Lg,7,7,630,7.0,2,1,2,0,0,1,0,0.29,0.14,0.43,0.29,0.43,,,,,,,,,
2013-2014,26,Arsenal,eng ENG,1. Premier League,36,36,3067,34.1,16,8,15,1,1,4,0,0.47,0.23,0.70,0.44,0.67,,,,,,,,,
2014-2015,27,Arsenal,,1. Champions Lg,2,2,150,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,,,,,,,,,
2014-2015,27,Arsenal,eng ENG,FA Cup,5,2,231,2.6,3,0,3,0,0,0,0,1.17,0.00,1.17,1.17,1.17,,,,,,,,,
2014-2015,27,Arsenal,eng ENG,1. Premier League,27,21,1862,20.7,14,3,14,0,0,5,1,0.68,0.15,0.82,0.68,0.82,,,,,,,,,
